,UserName,StarRatings,ReviewTitle,ReviewText,ReviewTime
606,BO NA KIM,1.0 out of 5 stars,White flakes when applying second time,"  Honestly I wanted to like this stuff so much I tried all the way to 3 bottles and changed my moisturizers too thinking maybe it’s the moisturizers. No, this stuff makes weird white flakes when applying second time. (See the photo) I can’t just apply sunscreens once a day. Not going to use this anymore."," October 7, 2020"
607,Sharon,5.0 out of 5 stars,Lightweight and perfect for my sensitive acne-prone skin,  It’s interesting how moisturizing face sunscreen can be. So far I haven’t had any redness or itchiness. Sunscreens are a hit and miss for me and this one is the perfect sunscreen I could find for my face!," June 29, 2021"
608,Elaine,4.0 out of 5 stars,High performance sunscreen,"  This is the only sunscreen I can use that won't make me break out. My dermatologist recommended it to me last year. It is very effective as a sunscreen... I took a trip to the British Virgin Islands last summer, and I applied the product to my face every morning before going out into the blazing sun. (My skin is fair and is prone to burning.) I found that the sunscreen lasted all day. I was basically at the beach everyday from 11 AM to 7 PM. I spent some time in the water, but I tried not to get my face wet. Of course water still got splashed on it anyway, but I didn't notice any effect on the sunscreen.One tip is to apply a thick coat, but make sure it gets absorbed.Also, I took off one star because it didn't give me as much moisterization as I was hoping for. Overall though, a wonderful product!"," November 26, 2015"
609,TW,5.0 out of 5 stars,Not greasy and very light!,"  I love this product.  I am obsessed with sun care, but I hate the greasy heavy feeling of sunscreen on my face.  This is light, moisturizing and non-greasy.  It feels like an ordinary moisturizer and not a sunscreen.I am in my mid-40s, have combination skin."," March 2, 2020"
610,Sandya23,5.0 out of 5 stars,Daily Sunscreen,  I love this sunscreen. It’s easy to apply and doesn’t leave a white cast. I have normal to oily skin and it does not make it worse.I use it daily with or without make up.," July 28, 2021"
611,Kathlyn G,5.0 out of 5 stars,Great product,"  This is the best face sunscreen I have tried. It was recommended by my dermatologist. It is a little expensive, but worth it!! Not greasy and doesn’t stink. Rubs in completely,  no white left over residue."," November 17, 2020"
612,flowergal,3.0 out of 5 stars,Good under makeup,"  This sunscreen is very light weight and blends in quickly. I am very fair and the high SPF is imperative to me but I am also prone to breakouts and am very careful with what I put on my skin. My friend recommended this product to me after her dermatologist recommended it to her. I am sort of on the fence with this one. I just got back from a week's vacation where I used this daily and definitely experienced a new breakout towards the end of the week. That said, I don't know if this sunblock was what caused it and I didn't get burned at all wearing this. It also leaves a faint white cast to the skin. I will continue to use intermittently and see what happens."," November 7, 2012"
613,Rachel Barkhorn,5.0 out of 5 stars,Works nicely on sensitive skin in my experience,"  I have rosacea and this works well, doesn’t leave a white cast which I appreciate very much. I can say that this is pretty water resistant!"," July 16, 2020"
614,G. Host,5.0 out of 5 stars,The holy grail of sunscreen,"  I have tried so many products and continue to come back to this one. It has been the best for my skin.- It doesn't cause my already bad skin to break out.- It spreads evenly and doesn't leave a chalky residue.- Leaves my skin feeling hydrated.- No sting and smells rather pleasant (for sunscreen).I always make sure to keep a bottle of this in my back pack, another bottle at home, and another in my husband's car. He also likes Elta MD after I got him to try it. I hope you do as well!"," May 23, 2019"
615,FLO,5.0 out of 5 stars,Sunblock that works,  Im sensitive to facial products a lot.  Like tis sunblock. Does not irritate my eyes when i accidentaly smear one to my eye," July 10, 2020"
616,Mine,5.0 out of 5 stars,best sunscreen ever,"  Best sunscreen I've ever used!I have sensitive skin and somewhat dry skin. Generally, if a sunscreen is moist enough, it burns; and if a sunscreen doesn't burn, it's not moist enough and it leaves white marks all around my face.This is the perfect solution. I will probably stick to it for my life"," September 15, 2020"
617,Amazon Customer,5.0 out of 5 stars,Good quality for even sensitive skins,"  My friend who has very sensitive skin and nuts to cosmetics recommended me this as she had been used this sun screen for a long time.Now I use this almost everyday as even primary before make ups.The texture is very smooth and light, so you don’t need to use so much amount at one time. Smell almost nothing but a bit sunscreen-ish (haha) as any of this kind of products.Overall I love this and will purchase again when I run out of current one."," October 20, 2018"
618,Danielle Marie,5.0 out of 5 stars,All-time Favorite,"  I have acne-prone skin and rarely leave reviews. I have to say that for someone who generally hates wearing sunscreen, wearing this has never felt like I was wearing sunscreen. It makes it far more enjoyable for me to apply this every day. No noticeable or unpleasant scent either. Buy it! I'm a believer."," October 21, 2019"
619,T. Gibbs,3.0 out of 5 stars,Like it...,"  I like this product; its one of the many sunscreens Ive tried that didnt burn the hell out of my skin. Its pretty thin compared to other screens Ive tried so I really like that, especially since I have naturally very oily acne prone skin anyway. The only reason I didnt give it 5 stars is because, although its thin and not as coating, it would be much better if it had some type of oil mattifying ingredient such as the ""clean start"" matte spf 15 by Dermatolgica. Now I love that spf but its not strong enough for the protection I need. I continuously undergo an aggressive acne and exfoliating treatment, which occasionally includes; chemical peels, dermabrasion, lasers and etc. (not all at once and not close after one another of course).Anyhow...I would definitely recommend this product."," December 11, 2011"
620,Alexa’s,4.0 out of 5 stars,"Me encanto, lo volvería a comprar mil veces","  La única razón por la cual no le doy 5 estrellas es por la simple razón que ya no hacen shipping a Puerto Rico.  El protector solar es perfecto para mi sensible rostro,. Tampoco se siente pegajoso es liviano y me protege bastante para el sol de mi isla."," April 21, 2020"
621,Anne Braun,5.0 out of 5 stars,Best. Sunscreen. Ever.,"  Seriously. I live in Hawaii and must wear sunscreen daily. I also have skin that is subject to oiliness and breakouts. Wonderful. What's a woman to do? Wear the Eltamd UV Clear! This is the ONLY facial sunscreen that does not cause me to break out, become more oily, or feel sticky/greasy. I love it, use it daily, and buy it regularly. The sunscreen goes on silky smooth, very easy to rub in. My skin absorbs it easily and it actually helps even out my skin tone. I knew I had found a winner when I went to visit my dermatologist for my annual skin checkup and I saw that her office had started to carry the Eltamd sunscreen line! I also use this on my neck and the tops of my hands. What I also love about this sunscreen is the bottle it comes in: lightweight with a nice pump feature. But, the MOST important point is that this sunscreen works. Our summertime UV ratings are very high here and I never burn with this sunscreen on. That's saying a lot. Give it a try, especially if you're breakout prone. I don't think you'll regret it."," December 20, 2013"
622,Gretchen,4.0 out of 5 stars,Pretty Good Sunscreen,"  I ordered this sunscreen after my dermatologist recommended it. I was hoping that it would be ""different"" from other sunscreens, somehow, because it's labeled ""UV Clear"" and that it's good for sensitive skin. Well, it honestly doesn't seem much different from any other sunscreen - I still feel like it gives me a bit of a pallor, and it feels no different from any other (I hate the feeling of sunscreen on my face). I'm giving it 4 stars because I do think it's a good sunscreen, and it IS on the EWG Safe Sunscreen list."," July 29, 2015"
623,Elizabeth,5.0 out of 5 stars,Súper bueno para pieles grasas.....,"  Tengo mi piel súper grasa, y dude en ponermelo xq cuando lo pones en tus manos se siente como una crema normal, pero al aplicarlo en mi rostro se siente muy hidratante y súper fácil de disbuirlo ... Me encanta , su olor es muy suave y deja la piel suave y sin brillos...... Lo súper recomiendo para pieles grasas"," April 7, 2021"
624,mascarasaurus,5.0 out of 5 stars,Dermatologist's choice,"  Work at dermatologist's office, this is one of the most frequently recommended sunscreens to teens and adults. Lightweight lotion, helps keep breakouts at bay and keeps skin healthy. You'll see a slight blueish-white haze when you first put this on, that's a good thing, you want to see that zinc oxide & titanium dioxide sitting over your skin because that's what's protecting your skin from sun damage."," June 23, 2018"
625,worthwaitingfor,1.0 out of 5 stars,Doesn’t work well with other products,"  Bought this product based on other reviews, but I’m not impressed. It does not layer well as it “beads up” when trying to put any other product on top of it. Moisturizer is meant to be worn under makeup, but can’t because if the beading problem."," February 12, 2020"
626,Sunny Ng,5.0 out of 5 stars,"Hands down, the best sunscreen I have ever purchased!","  As someone prone to acne, breakouts, and has had numerous procedures to try to fix his acne-scarred face, I have used Elta MD every single day. Even days that I don't go out. Not only have I never had a single breakout from this product, compared to others from brands like Neutrogena, but this product calms my skin and makes my scarring and redness less noticeable. This is an essential!"," April 14, 2020"
627,E. Condon,5.0 out of 5 stars,"Blends in well, doesn't clog pores","  I was having a lot of issues with skin sensitivity and breakouts, but I have a job where I have to spend a lot of time in the sun. I switched facial cleansers (CeraVe), moisturizer (Eucerin), and started using this sunscreen all around the same time. This sunscreen goes on really smoothly, doesn't appear white like a lot of mineral sunscreens, and a little goes a long way. It has provided really good sun protection despite heat and sweat. And my skin has stopped breaking out! It's worth the price if you have sensitive skin!"," July 16, 2020"
628,Kenny,5.0 out of 5 stars,Love this sunscreen.,  Dermatologist has recommended this and have used for years! I love the sun and this will stop me from getting my face burnt! All of these products work great! Highly recommended!," April 22, 2021"
629,Pen,4.0 out of 5 stars,Lightweight,  I have sensitive skin and thought it was great but as the day go goes by I think I had slight irration. Not sure if it’s because I put my moisturizer then this product or not sure if I should wear this product alone. It’s definitely lightweight for a sunscreen," May 26, 2019"
630,Aimers,4.0 out of 5 stars,Nice,  Love that it soaks right in and doesn’t leave a white film. Nervous though because there was no safety seal on the box or bottle.," December 3, 2021"
631,Lobailey26,5.0 out of 5 stars,Worth the money,"  Hands down, the best spf. I used it on my face for a lake trip this weekend, and my face stayed my natural color, while my back and arms burned because I used another spf. My skin is acne prone and oily, but this product isn’t oily and gives my skin a good, flawless look after applying it.UPDATE: I think it’s a bit too dry for my combo skin, so I started adding a moisturizer under this."," June 24, 2018"
632,Sol,5.0 out of 5 stars,Great for my skin,"  Works wonders and does not clog my easily clogged pores.  Recommended because of my acne issues, and it protects my skin without adding to my problem."," June 3, 2021"
633,Maria,4.0 out of 5 stars,Works ok!,"  This is the only sunscreen lotion that does not sting my eyes even if it’s on the whole day and I put it directly on my eyelids. Not sure if it’s doing any moisturizing, and it does leave a white cast, but just because it doesn’t burn my eyes, it’s the only one that I will keep using."," September 29, 2021"
634,Shaina,1.0 out of 5 stars,Allergic reaction!,  This product is labeled to be for acne-prone skin (sensitive skin in general) and it caused me to break out super bad. It was not even a break out it was more of an allergic reaction similar to the other person that mentions this in the reviews. I returned it and I should have read the reviews before buying. I had used this product before and I'm not sure if they changed the formula or what's going on but I will never risk my skin with this product again.," November 17, 2020"
635,Louise de Windsor,5.0 out of 5 stars,Best I have ever used!,"  This is the FIRST sunscreen face lotion that works perfectly for my sensitive, fair skin. I like everything about it and have found my answer for spending time outside walking and gardening without any repercussions from the sun!  Love it!"," May 26, 2020"
636,DivaChalice,5.0 out of 5 stars,The best facial sunscreen with an adequate SPF I have found,"  I was recently diagnosed with melanoma I figured my daily SPF 15 sunscreen wasn't adequately meeting my sun protection needs. I have seen recommendations for EltaMD UV Clear sunscreen all over the internet and the final push was when my dermatologist recommended it. I am acne-prone and have a difficult time finding sunscreen that doesn't make me feel like I'm going to end up with a bunch of new breakouts. I am also partial to zinc oxide, a physical sunscreen, over other sunscreens because it soothes my skin. Overall, this sunscreen is absolutely worth a try if you have a difficult time finding a good facial sunscreen."," November 15, 2013"
637,Liv,5.0 out of 5 stars,The best sunscreen I have ever used. I understand why its ranked so high,"  I was looking for a multi-faceted sunscreen that did not leave a white cast on brown skin. This is hands down the best,most lightweight, and moisturizing sunscreen. It does not leave a cast and applies smoothly. This sunscreen melts into your skin and has not broken me out. I am a fan and will repurchase"," May 17, 2020"
638,Linda,4.0 out of 5 stars,Best sunscreen for oily-prone skin,"  My dermatologist referred me to this to brand. Overall a great sunscreen for oily prone skin. I use it on my face when I know I am going to be out in the sun. It goes on very matte-like and you can add makeup right on top of that if you need to as well. I like that the dispenser dispenses just the right amount of product for your face and neck. I find it affordable for the product you get. For whatever reason sunscreen is expensive to begin with, so considering it is really  a specialty brand, the price is fair and in relation to drugstore brands. Only wish it was easier to find in stores. but always available on Amazon."," October 17, 2013"
639,PrincessRozebud,5.0 out of 5 stars,Lightweight & Works,  This is my favorite light weight moisturizer. It’s important to have SPF and not be greasy or have a weird smell. This product delivers on all of those!," April 21, 2021"
640,J. Beecher,5.0 out of 5 stars,"My favorite daily sunscreen for face - light, invisible, can be worn under foundation easily","  This is my favorite daily face sunscreen to wear under makeup. It is creamy and moisturizing but still lightweight. It blends easily onto the skin and it absorbs quickly. You can apply foundation directly over the top of it without waiting for it to dry and set. It does not cause my foundation to slip down. It doesn't make my face shiny. It doesn't irritate my skin. It doesn't feel heavy, it just feels like light moisturizing lotion. I use it every day under foundation. I had to return the first bottle I got because the pump was broken but the return was fast and easy."," May 18, 2015"
641,Kristen,4.0 out of 5 stars,Worked but now having a reaction,"  I purchased this and have been loving it, I’m not sure if the season change or just the product but now when I put this on my skin it burns, itches and I get red splotches all over my face. I tend to lean towards dry skin ans I haven’t changed anything in my routine. I’ve been using this for about 3 months with no issues. I used one full pump for my whole face and never noticed a white cast but I am fair skinned."," November 28, 2020"
642,S. Osborn,5.0 out of 5 stars,Love it.  been using it for years,"  This is a superior sunscreen especially for sensitive skin.  No residue, easy to apply and works well under make up.  Highly recommend"," August 15, 2021"
643,Melania Christopher,5.0 out of 5 stars,LOVE,"  This stuff is pricey but worth it. I’ve been struggling with acne in my 20s, way more than as a teenager. Adding this to my routine has made such a difference. I have oily skin and it controls the oil so well and hasn’t caused breakouts.  And the sun protection is great."," November 5, 2020"
644,SPARKLE 24,5.0 out of 5 stars,Okay sunscreen,"  Okay sunscreen.  It doesn't leave a gray cast on my skin. It is not as moisturizing as I would like, but it is okay"," December 23, 2021"
645,Amazon Customer,5.0 out of 5 stars,Pay attention to your skincare ingredients,  Great suncreen been using it for years but look at the ingredients in the rest of your skin care routine. This suncreen has niacinamide which is a popular active ingredient now so its in a lot of products.The problem is that too much of it is irritating to the skin. So watch out on using more than one product with niacinamide. Same goes other ingredients like hyaluronic acid. Irritation and toxicity is in the dose.I switch between suncreens on days I use other products with niacinamide.," September 25, 2020"
646,Shiloh,1.0 out of 5 stars,Didn't get the correct product,  The one I ordered from the description is SPF 46 for acne prone skin.  The item I received is SPF 40 and doesn't have the same label as the bottle advertised.," February 11, 2020"
647,GW,5.0 out of 5 stars,High quality sunscreen,  Expensive but high quality. Just a little each time goes a long way. Have been using it for years and never had a sunburn again and it doesn't seem as toxic as many cheap brands. My skin is happy.," December 30, 2018"
648,Colin & Adriane Lee-Wo,5.0 out of 5 stars,I'm a fan!!!,"  I had been looking for the perfect daily facial sunscreen for a long, long time until I read about this product on a magazine in the waiting room of my doctor's office. I wasn't familiar with the brand, but I read that it was good for oily skin and the fact that it has an awesome rating on the EWG website gave me the final push to go ahead and order it. Now I just can't leave without it! It's part of my everyday routine and it goes well with my anti-aging facial oil. Believe it or not, I am able to get a matte finish by mixing 4 drops of my oil with a dab of this sunscreen and my skin has a beautiful glow and is protected all day long! I would definitely recommend this product!"," April 22, 2013"
649,Amy D,5.0 out of 5 stars,Love my Elta MD,"  I have been using Elta MD for years, every morning.  My skin loves it. Cleared up my acne and skin is protected from the sun. Goes on light, not greasy or heavy at all.My dermatologist is very happy I have been using it."," January 15, 2022"
650,Psyched,5.0 out of 5 stars,Excellent non-greasy sunscreen!,  I love how this sunscreen absorbs into my skin to protect it from the sun. Non-greasy and moisturizing without the icky film or smell of other sunscreens," September 10, 2021"
651,Weezy,5.0 out of 5 stars,Best Sunscreen protection I have found,  This is my third bottle of this sunscreen protection.  It was recommended by my dermatologist.  I love it; works great on protection from the sun and also helps my sensitive skin stay moisturized.," October 30, 2020"
652,PJK,5.0 out of 5 stars,good sun protection,"  I use diffirin so i need good sun protection so i wont get bad effects of sun since skin is more sensitive. I feel like this protects skin and it goes on very clear, doesn't have much of a greasy feel either compared to other sunscreens. And there is an expiration date on mine. Just make sure to buy it from a verified seller like amazon for a legit product."," December 30, 2018"
653,Carmen,5.0 out of 5 stars,Definitely worth buying,"  I use retinol every day and was looking for a sunscreen that would be gentle on my face while giving me protection. A friend of mine introduce me to this brand. It smells good, is gentle and provides the daily protection I need. This will be part of my routine for a long time."," September 7, 2020"
654,JL,5.0 out of 5 stars,Feels like a moisturizer!,"  This is absolutely the best sunscreen for my face! I have sensitive skin and most sunscreens burn my face and eyes,  but this one feels like a moisturizer. I also love that it’s a mineral sunscreen that doesn’t leave me with a greasy white film on my face."," August 29, 2019"
655,Dani21 ,3.0 out of 5 stars,It’s okay,"  It ALWAYS ends up peeling. If I wear makeup on top of it an hour or two later my makeup looks like it’s flaking off cause the sunscreen is peeling under it. It blends it nicely and when you least expect it, it begins to peel."," May 13, 2021"
656,Aloha Lady,5.0 out of 5 stars,It Doesn't Take Up Any Room In My Bag!!,  I have rosacea so i react to many make up products.  This foundation does not irritate my rosacea.  It's very lightweight.  I can apply it through out the day as needed.  It's in a small container and doesn't take up much room.  I think I have the smallest make up bag when I travel. It's just great.," August 12, 2019"
657,greyblackwhip,1.0 out of 5 stars,Burns my eyes,"  The sun protection is the best of all my facial sunscreens, but when I sweat it burns my eyes.  I can't use it."," July 11, 2020"
658,Heather,5.0 out of 5 stars,summer essential,"  i had adult acne strike in my mid-20's. a dermo recommended this brand and now its the only one i trust with my skin. i apply to my face, tops of shoulders, chest and upper back - areas that are prone to acne. this is my face SPF go to. love it."," July 11, 2019"
659,Ann Hernandez,5.0 out of 5 stars,Love this,"  Oh my where has this sunscreen been all my life?  It smells good it goes on light and dries CLEAR!!  Seriously no pasty ...""what do you have on your face?"" stuff.  I have melasma on my fore head and it gets worse (a whole lot worse) in sun so I'm careful....all sunscreen are NOT created equal.  This helps protect my brown spots from getting worse and other little spots from starting up.  Yes you have to reapply...but you have to with all of them.  UGH!"," May 17, 2017"
660,realitytest,5.0 out of 5 stars,Excellent for my sensitive skin.  I'm even using it as a moisterizer.,"  I never know how well the UVA protection works,  but I appreciate its moisterizing and ease of application."," February 16, 2022"
661,monah,3.0 out of 5 stars,Not recommended for darker skin,  I really wanted to love this sunscreen but I couldn't. It made me look washed out kind of gray. I tried to put on a serum beforehand but it still wouldn't blend.  But it didn't make me greasy like other sunscreens. It actually helped with shine and and didn't make me break out.  I tried it for a short time under a bb cream but I don't like the extra step so I gave up. And I have no desire to try and figure out make-up. I'm sure it would work on lighter skin. I gave mine to my super pale boyfriend. The color problem was my only issue.," July 4, 2014"
662,GATITAxCHICANA,5.0 out of 5 stars,Take care of your skin with this,"  All that time in the sun with no protection is finally paying off :(And thanks to my finicky skin I've had a hard time finding a product that offers great protection, doesn't mess with my pores, and doesn't make me look like a ghost. But this is it, plus it even has some other benefits that I'm sure I've forgotten about but the point is, you need sunscreen, you need to wear it, you want your skin to remain great-looking, and you don't want it to clog your pores. I totally recommend this product! It's easy to apply, a little goes a long way, it's not greasy nor is it pasty, goes on clear and it's so lightweight, it's just perfect."," June 12, 2013"
663,Michelle Galarza,5.0 out of 5 stars,Best sunscreen,  Clean non irritating moisturizing spf wear this daily u will thank yourself later," April 1, 2021"
664,Rose,5.0 out of 5 stars,Goes on clear!,"  It's white when it comes out of the bottle, but it's completely clear and non-greasy when it's rubbed in."," November 29, 2021"
665,Natalia,5.0 out of 5 stars,Game changer,"  I have been using this product for over 2 years now and I keep repurchasing it. It's very light weight, not oily and never made my face break out (I have sensitive skin). I feel it gives me an excellent protection. I also like it doesn't smell.  I apply it on top of my moisturizer, before my make up, and it blends in very well. The delivery was fast and easy through Amazon Prime.  And mine came with the lot number and expiration date."," February 22, 2021"
666,L.L. Young,5.0 out of 5 stars,The Best SPF Avaialable,  This product and company are reliable.  The product works great to protect your skin from the sun.," November 10, 2020"
667,Anna,5.0 out of 5 stars,Favorite Sunscreen,  I absolutely love this facial sunscreen. My dermatologist recommended it because she said I need to start wearing sunscreen daily on my face. This is lightweight and looks great under makeup. I have noticed my face isn't getting red from sunburn. This sunscreen works great on oily skin too," November 29, 2020"
668,BRISA,5.0 out of 5 stars,Awesome!,  I have very dry skin and always have a hard time finding a product that would work for my face!!! I love this!!!! I will be ordering again!," October 24, 2020"
669,Nancy,5.0 out of 5 stars,Excellent sunscreen!,"  I read an article in a magazine that was written by a female dermatologist and she mentioned that she personally used this sunscreen, so I figured it was a good enough endorsement for me.I found it on Amazon right away and decided to purchase it and I'm really happy that I did.Its light, non-greasy and goes on smoothly.  I put it on over my daily moisturizer before I apply my foundation.  It doesn't ""sit"" on your skin, but rather it rubs in nicely and quickly.Overall, I'm very happy with my purchase and will continue to use this on a daily basis."," April 4, 2013"
670,GENIE FRISBEE-HIGBEE,5.0 out of 5 stars,great consistency,"  I use this for everyday moisturizer and sunscreen. I have mature skin and live in a dry climate.I've used the tinted sunscreen also in this brand, I feel like it offers good protection (actually was suggested by my dermatologist) since it gives some coverage and i am planning to buy it again."," August 25, 2019"
671,Abigail ,5.0 out of 5 stars,The best facial sunscreen I have ever tried,"  Was recommended to use this by my esthetician and I absolutely love it. Lightweight, moisturizing, great for my acne prone skin. It has no oily feel and no gross sunscreen smell. Really really impressed by this and will continue to buy."," January 17, 2021"
672,Girly Girl,5.0 out of 5 stars,I hope they never stop making this!,"  This is the only SPF I can use. It's completely non-greasy, non-smelly, doesn't break me out and is just the slightest bit moisturizing so it's perfect under makeup. I have been using this daily for 3 years. I have had some problems with the packaging where the pump was not working straight out of the box. This was frustrating because the bottle doesn't open so there's no way to get the product out. I finally figured out that if you hold the bottle upright and give the bottom of it a good whack on the countertop, it works perfectly after. Must be some air in it that disables the pump. Also, I've noticed some reviews saying that it failed SPF consumer testing. All I know is that I spent all summer at the pool and this is the only thing I used on my face and I never got even a tiny bit bronzed. It seems to work great for sun protection."," October 4, 2015"
673,J. Hiraga,5.0 out of 5 stars,Goes on clear and doesn't feel heavy,"  I love love love this product.  I've been using it for quite some time and have recommended and bought it for my family.  It goes on clear and doesn't feel heavy.  Goes on better than some facial lotion.  Definitely not oily and gives you the protection you need.  I use my normal facial lotion.  Wait until it's completely dry.  Then i apply Eltamed UV clear, wait for that to dry before applying on my makeup or BB cream.  Doesn't make my makeup smear or any other mess.  My make up goes on great.  I love this!  The 1.7 oz may seem small but it lasts me awhile.  I love the ease of the pump."," June 1, 2014"
674,Heather,5.0 out of 5 stars,Not greasy!,  Not greasy. Doesn't make me breakout. Works great under make up. Doesnt look white when rubbed in. Will be using this for a long time.," May 12, 2020"
675,Victoria,5.0 out of 5 stars,Non greasy and No White Cast,"  Fantastic sunscreen for oily to acne prone skin. Believe me, I am a beauty product Nazi and will pay top dollar for good skin. Love it's non greasy consistency and doesn't leaves a white cast. I use under mineral PRIIA mineral cosmetics (non acne inducing mineral makeup/foundation) and feel like I can confront the world. Lasts a long time and a little goes a long way."," March 15, 2017"
676,Mirna,5.0 out of 5 stars,Red hot,"  It made my face burn so bad, it was red for hours and i don't even have sensitive skin."," June 5, 2021"
677,KatetheGreat,5.0 out of 5 stars,Best daily sunscreen under makeup,"  This is the perfect daily sunscreen.  No smell, great under makeup, lightweight, high spf!!!  I love it so much that I sent a bottle to my mother in law.  This makes daily sun protection easy.  Only thing is that I wish it was cheaper.  The formula is very similar to the ANTHELIOS SX SPF MOISTURIZER WITH MEXORYL SPF 15."," April 22, 2019"
678,JILL C POWELL,5.0 out of 5 stars,Great sunscreen,  This product goes on smoothly and does not ever look white on my skin.  Feels great and a good moisturizer.  I have the clear and tinted.  It is not greasy or shiny.  Worth the expense!," February 6, 2022"
679,VALadyLaw,4.0 out of 5 stars,Good Product,  I have rosacea.  I have searched for years for a sunblock that will save my face.  This is the first product that did not irate my skin.  I did notice a slight redness this morning that appears to be a minor burn but there was no irritation.  This maybe because I react even when walking to the mailbox I am so sensitive.," April 16, 2019"
680,Hassett,4.0 out of 5 stars,Great facial sunscreen,  I have very sensitive skin and this is great.  Dermatologist recommended to me.  No breakouts like I have had with other sunscreens.," January 7, 2022"
681,Anne-Fleur,5.0 out of 5 stars,All-time favourite sunblock,"  I’ve gone through quite a few brands of sunblock and so happy I found this brand through dermatologist recommendations. It is the only one from the countless I’ve tried that does not make me break out. Consistency is light, doesn’t leave a white blanket on your face. I wear this daily after my skin care routine and moisturising. Highly recommend for those who have a sensitive skin type."," February 26, 2022"
682,Marcia An,1.0 out of 5 stars,Damaged product boxes,"  Packaging was fine but when I received this product, the product box was not in great shape. Along with this product another sunscreen came in a damaged product box along with another product that had a “tester” sticker on the product box. At this point, I lost confidence these were new products. I returned the two products without original product boxes and returned the “tester” box. Very disappointed!"," May 7, 2021"
683,Brooke Congleton,5.0 out of 5 stars,BEST DAILY SUNSCREEN EVER,  This stuff is amazing!  I am 45 years old with extremely sensitive skin and very fair.  Other sunscreens make my skin break out and make my rosacea act up.  This is the first sunscreen that I can wear every day and my skin has been smother and clearer than ever.  I am so please with this product!  I have combined it with First Aid Beauty moisturizing serum and that seems to be a perfect combo.," May 27, 2020"
684,Victorian Chick,5.0 out of 5 stars,"Wonderful Dermatologist-Recommended (LA fancy doc!) Sunscreen. Like real cream, no greasiness",  I buy it the minute I run out.The best.And absolutely the best higher-quality sunscreen for the money.," July 30, 2021"
685,mrsjohnson,1.0 out of 5 stars,Made me break out,"  I woke up with four giant under the skin type zits on my chin from just using this once! Tried Neutrogena Clear Face 30 spf and haven't had one single breakout. Usually ""you get what you pay for"" holds true but not in this case! The much cheaper Neutrogena works waaaay better for me."," October 1, 2018"
686,marcella sadler,5.0 out of 5 stars,Top- Notch,  My dermatology recommended this. I was not disappointed. I use it everyday! Love. Doesn’t go on white either. It’s a must.," September 12, 2021"
687,Amazon Customer,3.0 out of 5 stars,Burns eyes,  Went on nicely with no smell or whiteness or burning but played tennis in it and burned my eyes and under eye area. I’ve heard such good things about the brand- giving the water/sweat resistant one a shot instead," September 28, 2021"
688,Shopaholic,1.0 out of 5 stars,My product was defective.,"  The actual sunblock is wonderful. Great texture under makeup, protects my skin, and does not aggravate my acne-prone skin.However, the most recent one I opened is defective! The dispenser does not work! I got zero use of this product.I purchased a few of these sunblocks off Amazon, so by the time I got to the most recent purchase and opened the package, it was too late to return. Total waste of money! I will not repurchase. I've bought all kinds of items off Amazon for years and have never been disappointed, so I was quite surprised to open a useless product."," March 31, 2016"
689,Roberto Alcala,2.0 out of 5 stars,Leaves residue,"  Leaves a whitecast, doesn’t go into my skin properly leaves residue, even though it says it doesn’t clog pores it seemed to cause some acne, stopped use after two days :(. Giving it to my mom with perfect skin. Going back to the Elta spf 40 one that one is 5 stars for me."," January 4, 2022"
690,Lily J,5.0 out of 5 stars,UVA/UVB Protectant- Important!,"  My dermatologist recommend that I use Elta MD bc its formula and it protects 2 ultraviolet radiation UVA/UVB which is important to have in any sunscreen you purchase. Both UVA and UVB rays can increase your risks for skin cancer; additionally, these rays can cause significant sun damage, which leads to wrinkles, hyper pigmentation, and other advanced signs of aging. This is a great sunscreen, feels light on my skin and comes on sheer and doesn't cause break outs to my sensitive skin.  I will be a loyal customer to this sunscreen thats for sure!"," April 19, 2018"
691,Gaelyn,5.0 out of 5 stars,MY FAVORITE SUNSCREEN,  No white cast.  Totally sheer and moisturizing.  AND DOES NOT BURN MY EYES!!!," February 23, 2021"
692,Katea30,5.0 out of 5 stars,It’s A Winner For Those Who Suffer From Hyperpigmentation,"  I have oily, extremely sensitive skin and a lot of products cause hyperpigmentation, including certain sunscreen.  My dermatologist recommended this and it has worked extremely well.  No hyperpigmentation, no breakouts and no white film!  A little goes a long way!"," December 31, 2018"
693,Maeve Barrie,3.0 out of 5 stars,I am so sad that I just saw 2016 EWG ranking of this ...,  I am so sad that I just saw 2016 EWG ranking of this sunscreen an 8 where 10 is the worst.  It rated moderate for health concerns and poor for UVA/UVB coverage.  I love this sunscreen because it goes on clear and light and helps prevent acne breakouts.  I've been using it a few years after my Dermatologist recommended it.  When I see her again I will be asking her thoughts on this sunscreen.  Anyone else have thoughts on this new EWG ranking?," July 7, 2016"
694,Tori,4.0 out of 5 stars,"Good product, poor bottle design","  I really like this moisturizer with sunscreen. I've used it for a couple years now. I tend to have oily skin and this stuff is great at not making me oilier!! However, the last time I purchased the product they had changed the style of the pump, which is TERRIBLE. The lotion barely comes out and I can't tell if the bottle is running out way sooner than it should be or if it's just the pump mechanism.PLEASE GO BACK TO THE OLD PUMP STYLE!!!"," April 29, 2016"
695,JG,3.0 out of 5 stars,okay,  It was recommended by my dermatologist but when I used it I had breakouts. Used it only twice," November 22, 2020"
